user_id,tenant_company,tenant_first_name,tenant_name,owner_name,owner_email,tenant_gender,tenant_address,num_lot,monthly_rent,rent_balance,overdue_days,next_revision,end_date,nature,Départ
1,SA BRUNAUD ET FILS,Gilles,MARCOT,David FAGUIER,davidfaguier@gmail.com,F,"24, rue Duroc",1,1510,3020,60,4/7/2017,4/7/2018,Commercial 3 ans,4/7/2015
1,DEC,Xavier,MASSE,Michel BASCH,michelbasch@gmail.com,M,368 RUE DE VAUGIRARD,1,4380,8760,60,1/1/2017,1/1/2024,Commercial 9 ans,1/1/2009
1,X INVEST,Antony,FAYAND,Isabelle COATANEA,isabellecoatanea@gmail.com,F,16 Rue d'Alembert,1,1520,3040,60,4/1/2017,4/1/2018,Commercial 3 ans,4/1/2015
1,BIRDIES,Alain,DURR,Thierry BUTROT,thierrybutrot@gmail.com,F,17 RUE DU LAOS,1,4050,8100,60,4/1/2017,4/1/2019,Commercial 3 ans,4/1/2016
1,LAVOX - BLN,Carole,LOUVET,Patrick JACOB,patrickjacob@gmail.com,M,18 Rue Duvivier,1,740,1480,60,1/1/2016,1/1/2017,Commercial 9 ans,1/1/2002
1,BANQUE POPULAIRE COTE D AZUR,Carine,SOUCHET,Philippe FOUCHER,philippefoucher@gmail.com,F,1 ALLEE BERNADOTTE,1,900,0,0,12/18/2017,12/18/2018,Commercial 3 ans,12/18/2015
1,PRICEWATERHOUSECOOPERS ENTREPRISES,Bob,RENIER,Olivier WISNIEWSKI,olivierwisniewski@gmail.com,F,1 Rue Frederic Mistral,2,1020,0,0,1/13/2018,1/13/2020,Commercial 3 ans,1/13/2017
1,COTE D'AZUR SOTHEBY'S INTERNATIONAL REALTY,Christophe,DERO,Olivier WISNIEWSKI,olivierwisniewski@gmail.com,F,1 Rue Frederic Mistral,3,310,0,0,6/15/2017,6/15/2019,Commercial 3 ans,6/15/2016
1,ALLIOS SAS,Damien,DEREN,Olivier WISNIEWSKI,olivierwisniewski@gmail.com,F,1 Rue Frederic Mistral,4,4750,0,0,9/1/2017,9/1/2019,Commercial 3 ans,9/1/2016
1,W I T,Olivier,MARCHAND,Olivier WISNIEWSKI,olivierwisniewski@gmail.com,F,1 Rue Frederic Mistral,5,2150,0,0,2/19/2018,6/1/2018,Commercial 3 ans,6/1/2015
1,SAS MUST,Herve,GACHET,Olivier WISNIEWSKI,olivierwisniewski@gmail.com,F,1 Rue Frederic Mistral,6,3840,0,0,8/25/2017,8/25/2018,Commercial 3 ans,8/25/2015
1,GUIBAN MÉDITERRANÉE,Marc,BLOHORN,Olivier WISNIEWSKI,olivierwisniewski@gmail.com,F,1 Rue Frederic Mistral,7,4040,0,0,3/15/2018,3/15/2020,Commercial 3 ans,3/15/2017
1,GROUPE PAVILLON,Jean Charles,SCHMITT,Olivier WISNIEWSKI,olivierwisniewski@gmail.com,F,1 Rue Frederic Mistral,8,2690,0,0,2/1/2018,2/1/2020,Commercial 3 ans,2/1/2017
1,PARFUMS MOLINARD,Nicolas,GUIR,Olivier WISNIEWSKI,olivierwisniewski@gmail.com,F,1 Rue Frederic Mistral,9,4460,0,0,8/18/2017,8/18/2019,Commercial 3 ans,8/18/2016
1,AZURLINGUA,Christophe,BOURGERY,Olivier WISNIEWSKI,olivierwisniewski@gmail.com,F,1 Rue Frederic Mistral,10,2620,0,0,3/17/2018,3/17/2020,Commercial 3 ans,3/17/2017
1,E R D F,Sebastien,REGIS,Olivier WISNIEWSKI,olivierwisniewski@gmail.com,F,1 Rue Frederic Mistral,11,730,0,0,12/23/2017,12/23/2019,Commercial 3 ans,12/23/2016
1,ALISTER AVOCATS,Martine,HILLAIRET,Olivier WISNIEWSKI,olivierwisniewski@gmail.com,F,1 Rue Frederic Mistral,13,4630,0,0,1/28/2018,1/28/2019,Commercial 3 ans,1/28/2016
1,PAYAN BERTRAND,Werner,GAUDEFROY,Olivier WISNIEWSKI,olivierwisniewski@gmail.com,F,1 Rue Frederic Mistral,14,4560,0,0,11/1/2017,11/1/2017,Commercial 3 ans,11/1/2014
1,LABORATOIRE ENEOMEY,Patrick,LETOURNEUR,Antoine MALLET,antoinemallet@gmail.com,F,10 PASSAGE MONTBRUN,2,1090,0,0,10/25/2017,10/25/2019,Commercial 3 ans,10/25/2016
1,TOURNAIRE SA,damien,RICHET,Pierre-Alain HILARIO,pierre-alainhilario@gmail.com,F,10 Rue Bochart De Saron,1,790,0,0,3/4/2018,3/4/2019,Commercial 3 ans,3/4/2016
1,etoile du rhone,Thomas,DELOBEL,Pierre-Alain HILARIO,pierre-alainhilario@gmail.com,F,10 Rue Bochart De Saron,6,2690,0,0,5/11/2017,5/11/2018,Commercial 3 ans,5/11/2015
1,apm,Jean Francois,GOUGENHEIM,Jean-Pierre SAMMAN,jean-pierresamman@gmail.com,F,103 RUE DU THEATRE,100,2300,0,0,8/31/2017,8/31/2018,Commercial 3 ans,8/31/2015
1,UVICA-VIGNERONS ARDECHOIS,Francois,LE DENIC,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,5,3910,0,0,4/29/2017,4/29/2017,Commercial 3 ans,4/29/2014
1,BOIRON FRÈRES SAS,Franck,ARLIGUIE,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,7,2940,0,0,4/24/2017,4/24/2018,Commercial 3 ans,4/24/2015
1,INFOLOGIC,Florence,SOUWEINE,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,8,1010,0,0,2/6/2018,2/6/2020,Commercial 3 ans,2/6/2017
1,JALIN,Jean-Luc,AUCLAIR,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,9,3840,0,0,4/26/2017,4/26/2019,Commercial 3 ans,4/26/2016
1,ALPHAGEC,Pierrick,LARRENDUCHE,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,10,1100,0,0,10/18/2017,10/18/2019,Commercial 3 ans,10/18/2016
1,FAURE AUTOMATISME,Thomas,GUILLEMET,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,11,4720,0,0,7/28/2017,7/28/2019,Commercial 3 ans,7/28/2016
1,PROPCO SAS,Gilles,HARDY,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,12,2530,0,0,7/28/2017,7/28/2019,Commercial 3 ans,7/28/2016
1,MOULIN CHARPENTE,Pierre-Olivier,DIBOT,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,13,3520,0,0,8/28/2017,8/28/2018,Commercial 3 ans,8/28/2015
1,HOREIGON,Stéphane,RÉGIMBEAU,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,14,3990,0,0,10/29/2017,10/29/2018,Commercial 3 ans,10/29/2015
1,BANQUE MARZE,Veronique,ROUX,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,15,1720,0,0,10/1/2017,10/1/2017,Commercial 3 ans,10/1/2014
1,CONSEILS RHONE ALPES PLANTEVIN ET A,Asma,OROS,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,16,3570,0,0,12/1/2017,12/1/2018,Commercial 3 ans,12/1/2015
1,SUCHIER SAS,Sébastien,TRAHIN,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,17,3980,0,0,5/16/2017,5/16/2018,Commercial 3 ans,5/16/2015
1,SEQUOIAS,Cyril,FROMENT,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,18,3040,0,0,1/21/2018,12/1/2017,Commercial 3 ans,12/1/2014
1,LARGIER TECHNOLOGIE,Claude,GLUMINEAU,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,19,1520,0,0,1/1/2016,1/10/2019,Commercial 3 ans,1/10/2016
1,C'PRO,Vincent,SICARD,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,20,2990,0,0,12/1/2015,12/1/2018,Commercial 3 ans,12/1/2015
1,SELAS ROUVIERE EXPERTISE ET CONSEIL,Jean-Luc,COLIN,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,21,1860,0,0,7/1/2017,7/1/2019,Commercial 3 ans,7/1/2016
1,CIC BANQUE LYONNAISE,Charles-Emmanuel,FRANQUIN,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,22,4430,0,0,3/9/2018,3/9/2018,Commercial 3 ans,3/9/2015
1,VALCOM,Jean-Louis,GIRAUD,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,23,1020,0,0,4/20/2017,4/20/2019,Commercial 3 ans,4/20/2016
1,cabinet leven,Frédéric,LAURENT,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,24,4070,0,0,5/1/2017,5/1/2018,Commercial 3 ans,5/1/2015
1,apm ardennes,Jean,METAIS,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,25,4890,0,0,3/22/2018,3/22/2019,Commercial 3 ans,3/22/2016
1,ARTI,Marie,MONNET,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,26,3230,0,0,9/1/2017,9/1/2017,Commercial 3 ans,9/1/2014
1,AA COM AUX COMPTES,Olivier,WATELET,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,28,3330,0,0,7/1/2017,7/1/2017,Commercial 3 ans,7/1/2014
1,METALBLANC,Gérard,NOISETTE,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,30,4160,0,0,11/1/2017,11/1/2018,Commercial 3 ans,11/1/2015
1,ACBS+,Pierre,ROTHE,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,32,2110,0,0,9/24/2017,9/24/2019,Commercial 3 ans,9/24/2016
1,DURBECQ TRANSPORTS ET LOGISTIQUE,Patrice,SOLE,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,33,4030,0,0,9/24/2017,9/24/2019,Commercial 3 ans,9/24/2016
1,NEXANS FRANCE,Françoise Emmanuelle,BORGOLTZ,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,39,880,0,0,4/1/2017,4/1/2018,Commercial 3 ans,4/1/2015
1,ISOPAC,Charles,DELEPLANQUE,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,41,4670,0,0,10/16/2017,10/16/2017,Commercial 3 ans,10/16/2014
1,AFEIPH,Capucine,DELEPLANQUE,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,42,980,0,0,2/26/2018,2/26/2019,Commercial 3 ans,2/26/2016
1,GS AVOCATS,Fabien,DERREUMAUX,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,43,4450,0,0,2/26/2018,2/26/2019,Commercial 3 ans,2/26/2016
1,SA MAGASINS JEANTEUR,Ismael,DHERBECOURT,Oumnia MONTANT,oumniamontant@gmail.com,F,104 Rue Ordener,40,40,0,0,6/1/2017,6/20/2019,Commercial 3 ans,6/20/2016
1,L'ARDENNAISE DES BOIS,François,RICHE,Maxime VANAVERBECK,maximevanaverbeck@gmail.com,F,105 RUE DE LA CONVENTION,238,2370,0,0,9/1/2017,9/1/2017,Commercial 3 ans,9/1/2014
1,ERDF - GRDF UNITÉ CLIENTS ET FOURNISSEURS CHAMPAGNE-ARDENNE,Pit,RIMBAUD,Sylvain LETTER,sylvainletter@gmail.com,F,11 RUE EMILE DUCLAUX,3,3050,0,0,4/1/2017,4/1/2019,Commercial 3 ans,4/1/2016
1,TARKETT FRANCE,Pierre-François,VILA,Sylvain LETTER,sylvainletter@gmail.com,F,11 RUE EMILE DUCLAUX,4,4070,0,0,6/1/2017,6/1/2017,Commercial 3 ans,6/1/2014
1,NEXANS INTERFACE,Frank,PIGANEAU,Sylvain LETTER,sylvainletter@gmail.com,F,11 RUE EMILE DUCLAUX,5,4600,0,0,12/31/2049,9/1/2019,Commercial 3 ans,9/1/2016
1,CANJAERE,Bertrand,ERULIN,Sylvain LETTER,sylvainletter@gmail.com,F,11 RUE EMILE DUCLAUX,6,2590,0,0,3/1/2018,3/1/2019,Commercial 3 ans,3/1/2016
1,ARDEN EQUIPMENT,Régis,OLDRA,Sylvain LETTER,sylvainletter@gmail.com,F,11 RUE EMILE DUCLAUX,9,3930,0,0,10/1/2017,10/1/2018,Commercial 3 ans,10/1/2015
1,SAS JFR,Nadine,FOUQUE,Sylvain LETTER,sylvainletter@gmail.com,F,11 RUE EMILE DUCLAUX,10,2960,0,0,8/1/2017,8/1/2017,Commercial 3 ans,8/1/2014
1,ARBOR,Pierre,MORENO,Pierre BARAT,pierrebarat@gmail.com,F,11 RUE JEAN NICOT,12,1230,0,0,1/29/2018,1/29/2018,Commercial 3 ans,1/29/2015
1,GROUPE ARDEN'VERINS,Thierry,SAINT AUBIN,Nathalie DURAND,nathaliedurand@gmail.com,F,110 RUE DE MONTREUIL,1,4410,0,0,12/16/2017,12/16/2017,Commercial 3 ans,12/16/2014
1,BUSINESS TEAM,Laurie,BETREMIEUX,Karim RHAFES,karimrhafes@gmail.com,F,110 Rue Saint-Charles,3,2730,0,0,9/1/2017,9/1/2018,Commercial 3 ans,9/1/2015
1,EJ EMEA,Jérôme,COMBE,Karim RHAFES,karimrhafes@gmail.com,F,110 Rue Saint-Charles,4,3710,0,0,7/22/2017,7/22/2019,Commercial 3 ans,7/22/2016
1,KPMG SA,Pierre,LAUBIES,Karim RHAFES,karimrhafes@gmail.com,F,110 Rue Saint-Charles,5,290,0,0,4/1/2017,4/1/2019,Commercial 3 ans,4/1/2016
1,norelem sas,Jean-Thierry,JALENQUES DE LABEAU,Karim RHAFES,karimrhafes@gmail.com,F,110 Rue Saint-Charles,6,4120,0,0,1/1/2018,12/24/2018,Commercial 3 ans,12/24/2015
1,j&t strategie,Philippe,AGUERA,Karim RHAFES,karimrhafes@gmail.com,F,110 Rue Saint-Charles,7,1520,0,0,4/1/2017,4/1/2017,Commercial 3 ans,4/1/2014
1,BDS ASSOCIES,Virginie,PARIS,Karim RHAFES,karimrhafes@gmail.com,F,110 Rue Saint-Charles,8,3600,0,0,11/8/2017,11/8/2019,Commercial 3 ans,11/8/2016
1,SEDIS,Luis,ETIENNE,Karim RHAFES,karimrhafes@gmail.com,F,110 Rue Saint-Charles,9,2870,0,0,7/5/2017,7/5/2019,Commercial 3 ans,7/5/2016
1,IFAC AVOCATS,Jean-Louis,SAVIN,Karim RHAFES,karimrhafes@gmail.com,F,110 Rue Saint-Charles,10,1580,0,0,1/23/2018,1/23/2018,Commercial 3 ans,1/23/2015
1,CEPHAS IMMOBILIER,Karin,BOUVEROT,Karim RHAFES,karimrhafes@gmail.com,F,110 Rue Saint-Charles,11,860,0,0,4/1/2017,4/1/2019,Commercial 3 ans,4/1/2016
1,UNION AUB./CHAMPAGNE DEVAUX,Jerome,GANGLOFF,Karim RHAFES,karimrhafes@gmail.com,F,110 Rue Saint-Charles,12,2420,0,0,7/15/2017,7/15/2019,Commercial 3 ans,7/15/2016
1,GRAVOTECH MARKING SAS,François,CHESSE,Karim RHAFES,karimrhafes@gmail.com,F,110 Rue Saint-Charles,13,4480,0,0,7/28/2017,7/28/2019,Commercial 3 ans,7/28/2016
1,KPMG,Letitia,LOZE,Karim RHAFES,karimrhafes@gmail.com,F,110 Rue Saint-Charles,16,2130,0,0,11/24/2017,11/24/2017,Commercial 3 ans,11/24/2014
1,LAMBERT ENTREPRISE,Stephane,REMIGNON,Karim RHAFES,karimrhafes@gmail.com,F,110 Rue Saint-Charles,201,4000,0,0,4/29/2017,4/29/2017,Commercial 3 ans,4/29/2014
1,GL FINANCES,Jeremie,SOENEN,Karim RHAFES,karimrhafes@gmail.com,F,110 Rue Saint-Charles,401,4170,0,0,7/4/2017,7/4/2019,Commercial 3 ans,7/4/2016
1,ACODI,Charles,HURET,Mohamed MAZEAU,mohamedmazeau@gmail.com,F,115 Rue Raymond Losserand,2,2490,0,0,11/1/2017,11/1/2019,Commercial 3 ans,11/1/2016
1,HMWC,Mickael,LESCANNE,Laurent CHEVILLARD,laurentchevillard@gmail.com,F,12 AVENUE RENE COTY,3,4760,0,0,1/9/2018,1/9/2018,Commercial 3 ans,1/9/2015
1,MARTINE ROUSSEL VOYAGES SAS,Dominique,THOMAS,Laurent CHEVILLARD,laurentchevillard@gmail.com,F,12 AVENUE RENE COTY,5,770,0,0,6/17/2017,6/17/2017,Commercial 3 ans,6/17/2014
1,NT BOIS,Philippe,PARARD,Laurent CHEVILLARD,laurentchevillard@gmail.com,F,12 AVENUE RENE COTY,6,1110,0,0,9/23/2017,1/1/2018,Commercial 3 ans,1/1/2015
1,TIMBER PRODUCTIONS,Max Joël,GRUMMER,Laurent CHEVILLARD,laurentchevillard@gmail.com,F,12 AVENUE RENE COTY,8,1360,0,0,10/21/2016,10/21/2017,Commercial 3 ans,10/21/2014
1,societe bellegardienne d'investissement,Jérôme,CHEVALIER,Laurent CHEVILLARD,laurentchevillard@gmail.com,F,12 AVENUE RENE COTY,10,3450,0,0,4/1/2017,3/21/2020,Commercial 3 ans,3/21/2017
1,inconnu,Jean Francois,TRESANINI,Laurent CHEVILLARD,laurentchevillard@gmail.com,F,12 AVENUE RENE COTY,12,3930,0,0,3/12/2018,3/12/2018,Commercial 3 ans,3/12/2015
1,CVB CABINET VINCENT BAUD,Rodolphe,FARINOLE,Laurent CHEVILLARD,laurentchevillard@gmail.com,F,12 AVENUE RENE COTY,13,50,0,0,9/8/2017,9/8/2019,Commercial 3 ans,9/8/2016
1,MOTELEC INDUSTRIE,Franckie,PERRIN,Laurent CHEVILLARD,laurentchevillard@gmail.com,F,12 AVENUE RENE COTY,9,4360,0,0,1/1/2018,1/1/2018,Commercial 3 ans,1/1/2015
1,MARTIPLAST,Armand,RERAT,Laurent CHEVILLARD,laurentchevillard@gmail.com,F,12 AVENUE RENE COTY,11,2560,0,0,9/1/2017,9/1/2018,Commercial 3 ans,9/1/2015
1,CARPEL SA,Jérémie,VANCO,Pierre BEAUBELIQUE,pierrebeaubelique@gmail.com,F,12 Square du PORT ROYAL,1102,1510,0,0,8/1/2017,8/1/2017,Commercial 3 ans,8/1/2014
1,ADB,Julien,LHERONDEL,Patrick MAHE,patrickmahe@gmail.com,F,128 Rue de Vaugirard,1,3350,0,0,2/10/2018,2/10/2020,Commercial 3 ans,2/10/2017
1,SOFINEDA,Jean-Etienne,DUPREZ,Damien LE PAPE,damienlepape@gmail.com,F,13 RUE DUPLEIX (9016),90,1010,0,0,7/1/2017,7/1/2020,Commercial 3 ans,7/1/2016
1,NARC-CY,Claire,ISTASSE,Thierry BEAUMONT,thierrybeaumont@gmail.com,F,13 Rue Ledion,1,1490,0,0,11/1/2017,11/1/2017,Commercial 3 ans,11/1/2014
1,IDICE,Thierry,STETTEN-PIGASSE,Laurent FUMERON,laurentfumeron@gmail.com,F,14 Rue de Cadix,1,2850,0,0,1/18/2018,1/18/2019,Commercial 3 ans,1/18/2016
1,RD MACHINES OUTILS,Arnaud,PAUMELLE,Herve MIKOLAJCZAK,hervemikolajczak@gmail.com,F,14 RUE EUGENE GIBEZ,6,530,0,0,10/1/2017,10/1/2019,Commercial 3 ans,10/1/2016
1,CICAM,Bernard,DESANDRE,Herve MIKOLAJCZAK,hervemikolajczak@gmail.com,F,14 RUE EUGENE GIBEZ,7,1730,0,0,8/1/2017,8/1/2018,Commercial 3 ans,8/1/2015
1,FROMAGERIE SEIGNEMARTIN SAS,Jean-Michel,BEILVERT,Herve MIKOLAJCZAK,hervemikolajczak@gmail.com,F,14 RUE EUGENE GIBEZ,10,2820,0,0,5/11/2017,5/11/2017,Commercial 3 ans,5/11/2014
1,MARRON & ASSOCIES,Frédéric,BREBOIN,Herve MIKOLAJCZAK,hervemikolajczak@gmail.com,F,14 RUE EUGENE GIBEZ,11,580,0,0,4/11/2017,4/11/2017,Commercial 3 ans,4/11/2014
1,SMP,Julien,ZELIE,Herve MIKOLAJCZAK,hervemikolajczak@gmail.com,F,14 RUE EUGENE GIBEZ,12,1000,0,0,3/15/2018,12/1/2018,Commercial 3 ans,12/1/2015
1,ROVIP,Pascal,DEMARTIAL,Herve MIKOLAJCZAK,hervemikolajczak@gmail.com,F,14 RUE EUGENE GIBEZ,13,4980,0,0,8/25/2017,8/25/2019,Commercial 3 ans,8/25/2016
1,P.X.L. SEALS SAS,Sandrine,CLERGET,Herve MIKOLAJCZAK,hervemikolajczak@gmail.com,F,14 RUE EUGENE GIBEZ,14,4850,0,0,12/8/2017,12/8/2018,Commercial 3 ans,12/8/2015
1,IPC,François-Eric,BOEUF,Herve MIKOLAJCZAK,hervemikolajczak@gmail.com,F,14 RUE EUGENE GIBEZ,15,1270,0,0,12/26/2017,7/1/2019,Commercial 3 ans,7/1/2016
1,GIROD MORETTI,Jean-Luc,DELACOUR,Herve MIKOLAJCZAK,hervemikolajczak@gmail.com,F,14 RUE EUGENE GIBEZ,16,3420,0,0,6/1/2017,6/1/2018,Commercial 3 ans,6/1/2015
1,aarpi skbg & associes,Thomas,BOUDARD,Herve MIKOLAJCZAK,hervemikolajczak@gmail.com,F,14 RUE EUGENE GIBEZ,17,2270,0,0,12/5/2017,12/5/2017,Commercial 3 ans,12/5/2014
1,apm,Joelle,DUJARDIN,Herve MIKOLAJCZAK,hervemikolajczak@gmail.com,F,14 RUE EUGENE GIBEZ,18,2330,0,0,12/16/2017,12/16/2019,Commercial 3 ans,12/16/2016
1,MBA PROMOTION,Sophie,VANRHEE,Jean-Loic BLAIZEAU,jean-loicblaizeau@gmail.com,F,14-16 RUE LAGILLE,1656,1800,0,0,7/1/2017,7/1/2019,Commercial 3 ans,7/1/2016
1,ALSEAMAR,Franck-Eric,VERHAEGHE,Jean-Loic BLAIZEAU,jean-loicblaizeau@gmail.com,F,14-16 RUE LAGILLE,1669,3070,0,0,1/30/2018,1/30/2018,Commercial 3 ans,1/30/2015
1,YSY GROUP,Daniel,VAUXCLAIRS,Benoit HELAINE,benoithelaine@gmail.com,F,14/16 Rue de Reims,1,1320,0,0,1/26/2018,1/26/2019,Commercial 3 ans,1/26/2016
1,NAWA TECHNOLOGIES SA,Julien,SCHERER,Benoit HELAINE,benoithelaine@gmail.com,F,14/16 Rue de Reims,304,1660,0,0,12/30/2017,12/30/2019,Commercial 3 ans,12/30/2016
1,GROUPE OMNIUM,Guillaume,KORCHI,Thierry HALNA DU FRETAY,thierryhalnadufretay@gmail.com,F,148 RUE ROGER SALENGRO,45,3550,0,0,8/23/2017,8/23/2019,Commercial 3 ans,8/23/2016
1,NOVRH,Anne,DELAFOSSE,Simon LEBRUN,simonlebrun@gmail.com,F,15 Av.Elisee Reclus,5,3040,0,0,11/1/2017,11/1/2017,Commercial 3 ans,11/1/2014
1,S.2.C.,Gérard,GAUDILLOT,Roger EL BIED,rogerelbied@gmail.com,F,15 Rue Lagrange,2,2790,0,0,8/11/2017,8/11/2019,Commercial 3 ans,8/11/2016
1,FINANCIERE GEM INDUSTRIE,Sophie,DEBRAIZE,Antoine GRENIER,antoinegrenier@gmail.com,F,16 Place du Commerce,11,4970,0,0,5/19/2017,5/19/2017,Commercial 3 ans,5/19/2014
1,CAPSTAN,Matthieu,ROUGIER,Mathieu TOUHLALI,mathieutouhlali@gmail.com,F,16 RUE DU CHAMP DE MARS,8,1320,0,0,1/29/2018,1/29/2018,Commercial 3 ans,1/29/2015
1,RAPHAEL MICHEL GROUP,Emmanuel,GRECH,Mathieu TOUHLALI,mathieutouhlali@gmail.com,F,16 RUE DU CHAMP DE MARS,16,2080,0,0,9/2/2017,9/2/2019,Commercial 3 ans,9/2/2016
1,FRECHE PÈRE ET FILS,Jean François,SURIN,Mathieu TOUHLALI,mathieutouhlali@gmail.com,F,16 RUE DU CHAMP DE MARS,35,4160,0,0,1/5/2018,1/5/2019,Commercial 3 ans,1/5/2016
1,DELOITTE ET ASSOCIES,Guillaume,HENRY,Anne MOREL,annemorel@gmail.com,F,16 Rue du Colisee,4,1750,0,0,11/1/2017,11/1/2019,Commercial 3 ans,11/1/2016
1,CONSEIL PLUS GESTION,Francois,CHALMEY,Anne MOREL,annemorel@gmail.com,F,16 Rue du Colisee,6,20,0,0,6/11/2017,6/11/2018,Commercial 3 ans,6/11/2015
1,MEDITERRANEENNE DE SALAISONS SAS,Gaelle,CHAPOTARD,Anne MOREL,annemorel@gmail.com,F,16 Rue du Colisee,14,1840,0,0,12/1/2017,12/1/2018,Commercial 3 ans,12/1/2015
1,ULTEAM SAS,Yvon,PATOUX,Anne MOREL,annemorel@gmail.com,F,16 Rue du Colisee,15,810,0,0,7/1/2017,6/19/2019,Commercial 3 ans,6/19/2016
